biome,site,value,disturbance,forestcover_50,forestcover_10,year,forest10,forest50,rate10,rate50,cluster,x,y
boreal,ASSINICA,12,3887,1495947600,1822650300,2012,2025167,1662164,0.0019193478858780535,0.002338517739525101,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,13,106,1495947600,1822650300,2013,2025167,1662164,5.234136246541643e-5,6.377228721112959e-5,3,-75.12814285786246,50.34610084850191
boreal,ASSINICA,14,407,1495947600,1822650300,2014,2025167,1662164,2.0097108040966497e-4,2.4486151787669565e-4,3,-75.12814285786246,50.34610084850191
boreal,BROADBACK,1,183,3381819300,4216736700,2001,4685263,3757577,3.905863982448797e-5,4.870159680027848e-5,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,2,1161,3381819300,4216736700,2002,4685263,3757577,2.47798255935686e-4,3.089757042902913e-4,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,3,4,3381819300,4216736700,2003,4685263,3757577,8.53740761190994e-7,1.0645157770552673e-6,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,4,317,3381819300,4216736700,2004,4685263,3757577,6.765895532438627e-5,8.436287533162994e-5,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,5,52250,3381819300,4216736700,2005,4685263,3757577,0.01115198869305736,0.013905237337784428,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,6,32791,3381819300,4216736700,2006,4685263,3757577,0.006998753325053471,0.008726634211354818,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,7,5080,3381819300,4216736700,2007,4685263,3757577,0.0010842507667125623,0.0013519350368601895,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,8,2476,3381819300,4216736700,2008,4685263,3757577,5.284655311772252e-4,6.589352659972104e-4,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,9,3464,3381819300,4216736700,2009,4685263,3757577,7.393394991914008e-4,9.218706629298615e-4,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,10,202748,3381819300,4216736700,2010,4685263,3757577,0.04327355796248791,0.053957111191600335,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,11,63184,3381819300,4216736700,2011,4685263,3757577,0.01348568906377294,0.016815091214365002,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,12,38147,3381819300,4216736700,2012,4685263,3757577,0.008141912204288212,0.01015202083683182,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,13,172999,3381819300,4216736700,2013,4685263,3757577,0.036924074486320194,0.046040041228696045,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,14,10343,3381819300,4216736700,2014,4685263,3757577,0.0022075601732496125,0.0027525716705206573,3,-77.21444887447923,50.96609354683325
boreal,CARTIER,1,23,643132800,646143300,2001,717937,714592,3.2036237162870834e-5,3.218619855805831e-5,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,2,19,643132800,646143300,2002,717937,714592,2.6464717656284605e-5,2.6588598808830775e-5,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,3,2,643132800,646143300,2003,717937,714592,2.7857597532931163e-6,2.7987998746137655e-6,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,4,24,643132800,646143300,2004,717937,714592,3.3429117039517395e-5,3.358559849536519e-5,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,5,54,643132800,646143300,2005,717937,714592,7.521551333891413e-5,7.556759661457167e-5,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,6,29,643132800,646143300,2006,717937,714592,4.039351642275018e-5,4.05825981818996e-5,2,-71.34785213179656,47.31721033605456
