biome,site,value,disturbance_ha,openforest_ha,year,cluster,x,y
boreal,BEKKARFJORD,3,1.17,1584,2003,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,4,61.65,1584,2004,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,5,3.42,1584,2005,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,6,0.72,1584,2006,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,7,0,1584,2007,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,8,0.18,1584,2008,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,9,0.36,1584,2009,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,10,0,1584,2010,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,11,0.36,1584,2011,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,12,0,1584,2012,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,13,0.09,1584,2013,3,27.376787890514166,70.55448908749581
boreal,BEKKARFJORD,14,0,1584,2014,3,27.376787890514166,70.55448908749581
boreal,BROADBACK,1,4.77,133488,2001,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,2,25.2,133488,2002,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,3,0.09,133488,2003,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,4,12.24,133488,2004,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,5,624.3299999999999,133488,2005,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,6,228.6,133488,2006,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,7,41.129999999999995,133488,2007,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,8,38.699999999999996,133488,2008,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,9,36.18,133488,2009,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,10,1849.4099999999999,133488,2010,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,11,769.68,133488,2011,3,-77.21444887447923,50.96609354683325
