site,biome,height.pft,wooddensity.pft,conifershare.pft,height.species,wooddensity.species,conifershare.species,temp_mean_sd,prec_mean_sd,temp_mean,temp_range,prec_mean,prec_range,x,y,cluster,site_id
DENALI,boreal,42.648920000000004,235.35238000000004,0.5,45.06656673157103,466.4698405199807,0.5,1.0805045491543854,72.27478965006576,-3.4139416238446945,30.234655644404885,578.6251093552756,102.26126986239949,-151.31823288945975,63.70496598029628,High,8
DENEZHKIN,boreal,43.813,230.2655,0.8,39.488361,457.5793373537913,0.8,0.9502425615537814,89.26867525359458,-0.19328482971556538,35.971038395365696,699.1210218962894,147.38993807451885,59.48809548666293,60.5089723572197,High,9
fagaras,temperate,36.126000000000005,278.25700000000006,0.6666666666666666,45.90000000000004,537.9304853058768,0.6666666666666666,0.8116492118363459,164.55466449954812,8.162983513975476,25.378130389798073,946.3926373590486,196.77225793017786,24.80368916210668,45.64615122355059,Moderate,64
FARNEBOFJARDEN,boreal,35.81964,246.06321000000003,0.4,36.6461245,515.0738397333607,0.4,1.0311867651421809,122.95708970131064,6.438560190113334,20.229383763936372,870.0844277419595,131.1638362513502,16.784154196297216,60.2012067962209,Low,10
feng,temperate,41.99956043956044,235.25912087912087,0.6,42.598901098901095,403.29955677655664,0.6,0.7760619554811776,159.3734404135394,1.057772022794046,42.11153288810484,774.4449124425145,206.63353905569232,129.10375684242217,48.12419592550166,Moderate,65
flattops,temperate,42.916737704918035,234.5033442622951,0.8,48.47501639344262,433.16954207975556,0.8,0.7473318978742116,111.08868749048521,4.157701271443417,26.84467875572943,533.0962348524395,121.88844370831448,-107.26822642087457,39.95237348866568,High,66
FULUFJALLET,boreal,46.15115,229.7542,0.5,49.8,474.2529445762286,0.5,0.9114027889664498,93.76160349564103,0.6248916474652653,21.662276053724778,657.8915163041706,124.48048983186705,12.739429569108696,61.54560240517525,Low,11
GASPESIE,boreal,46.30655,229.16845,1,29.346604040404042,489.4644776945188,1,0.8524599314918576,121.90810926606396,0.6160997029044704,30.860557091012225,1109.7516357248994,133.19299520564144,-66.3635944596967,48.919246317512396,Moderate,12
glacier,temperate,47.7091,234.7729,1,55.296,440.8372175283747,1,0.8219662573149739,102.8306497882161,3.813523851214878,26.847851710934794,494.6854665705027,114.14456515040563,-113.17359526675278,47.70131922996368,High,68
GODBOUT,boreal,45.087340000000005,231.22976000000003,0.8,39.15951857334273,481.3481470457448,0.8,0.8876207235664612,100.4140773790326,-0.017754632537527758,31.893482064147058,1161.5140312255346,147.36486262343877,-67.84602097188683,49.64752341291868,Moderate,13
GRIDINO,boreal,45.261050000000004,225.24429999999998,0.5,40.77816805,448.9786544299754,0.5,1.039829015524226,85.51412904705876,0.7428189566124005,28.997797766193752,485.15882105343576,66.80642808234472,34.63680250634943,65.91443761097501,Moderate,14
GUERNESE,boreal,46.356,229.419,1,36.17283232323233,479.83194392052013,1,1.1602400250910352,103.31900129696554,-0.1556036462250939,28.350380241528608,931.4346617731612,102.6790483962291,-57.895799136789165,51.87080683037174,Moderate,15
hainich,temperate,22.39490243902439,323.429243902439,0,32.04085365853664,627.4808448818982,0,0.78295134838249,202.50497076066836,8.364824127783919,20.047354805824018,965.2440161730779,137.49227938556734,10.439422219339347,51.07193547027771,Moderate,69
hightatra,temperate,44.54818556701031,230.01356701030926,0.6,35.28694443298969,535.8617642104775,0.6,0.9253274154356078,166.53020107976386,7.576133113402012,24.907140016555786,777.0699709305329,165.02921169907864,19.948094316411943,49.19292559998478,Moderate,70
illi,temperate,45.6637,225.91129999999998,1,55.5,408.2609660021596,1,0.7598559976590655,123.67049295674059,12.249839556313331,19.263537547280713,929.3931840562425,154.88695754998142,-119.50187996263548,37.657344896369146,Moderate,73
