biome,site,x,y,cluster,site_id,fire
Temperate,reed,-69.07098309586529,46.34940208788597,Moderate,89,0
Temperate,risnjak,14.646621346416152,45.43257357671387,Moderate,90,0
Temperate,sub,145.12156503821,44.08833103513054,Moderate,91,0
Temperate,sumava,13.458402773612544,48.99036226315622,Moderate,92,0
Temperate,sylvania,-89.294214752857485,46.21101956240995,Low,93,0
Temperate,tasmania,146.2526083333592,-41.901604611898286,Low,94,1
Temperate,tepuhueico,-74.06087026899883,-42.769814755320695,Moderate,95,0
Temperate,tolhuaca,-71.82144598819129,-38.20352454257769,High,96,1
Temperate,torres,-73.0831014892352,-51.03740191473005,Moderate,97,1
Temperate,uholka,23.66589052036905,48.27463913314127,Low,98,0
Temperate,villarica,-71.64892872245001,-39.52452464259693,Moderate,99,1
Temperate,vincente,-72.12719081037432,-41.21912720221446,Low,100,1
Temperate,weminuche,-107.28667376128337,37.60331557116128,High,101,1
Temperate,yellowstone,-110.30559793548129,44.5348739794386,High,102,1
Temperate,zirkel,-106.7017570612496,40.76846946847521,High,103,1
